,bonds,stocks,cash
2006-11-01,0.0067916126,0.0026157332645926346,0.00557264827875414
2006-12-01,0.0026925058,-0.016326854826783532,0.00575893708958164
2007-01-01,0.0053888703,0.04211949257459957,0.00575893708958164
2007-02-01,0.0081060014,-0.024950481961827253,0.00520017416513774
2007-03-01,0.0051980413,-0.0015054024025497048,0.00591321791800303
2007-04-01,0.0052324012,0.004660178401258541,0.00579750445103122
2007-05-01,0.0010270541,0.03691297142697936,0.00615697531696124
2007-06-01,0.004885414,-0.04948057120357463,0.00611136234840925
2007-07-01,0.0111100853,-0.007493301578325395,0.00639370778950821
2007-08-01,0.0138161403,0.09846743546318493,0.00655332292491773
2007-09-01,0.0078735243,-0.020808762119266633,0.00634125658410589
2007-10-01,0.0079098842,0.020924705895953633,0.00655332292491773
2007-11-01,0.013973835,-0.02888982238066673,0.00634125658410589
2007-12-01,0.0058724554,-0.011105839312163801,0.00655332292491773
2008-01-01,0.0184392829,-0.10152573639819606,0.00655332292491773
2008-02-01,0.0107367517,-0.013522183663013387,0.00612923492262873
2008-03-01,0.004500377,0.007298472902232511,0.00655332292491773
2008-04-01,-0.0015751271,0.061595962636602275,0.00634125658410589
2008-05-01,-0.0006355532,0.030647099245757703,0.00655332292491773
2008-06-01,0.0049525528,-0.03780711536967718,0.00634125658410589
2008-07-01,0.0127672178,0.007399441012565733,0.00650227577028217
2008-08-01,0.0113753575,0.02224844327812936,0.0063553595087511
2008-09-01,0.0112968859,-0.0911900158951019,0.00589369967455666
2008-10-01,0.019608538,-0.07355507054093224,0.005726763108024
2008-11-01,0.0150681033,-0.020519866972183554,0.00499185304650251
2008-12-01,0.0126969954,-0.028823365278820567,0.00406443805079104
2009-01-01,0.004912088,0.0801887500356484,0.00382827658403073
2009-02-01,0.0047254247,-0.07158105709976215,0.00245482275878439
2009-03-01,0.0068893677,-0.06056785874056514,0.00245192785784698
2009-04-01,0.0022854878,0.09330272298068554,0.00221735805576007
2009-05-01,0.0024398037,-0.035400574090081904,0.0018902685722193
2009-06-01,0.0032617629,-0.009260766430767231,0.00182923643107347
2009-07-01,0.0053571396,0.060869614993942944,0.0018902685722193
2009-08-01,0.0053365665,-0.018241803715724814,0.0018902685722193
2009-09-01,0.0048616201,-0.009056448326087096,0.00182923643107347
2009-10-01,0.0031002668,-0.008196405570184306,0.0018902685722193
2009-11-01,0.0074489952,0.05334113958664655,0.00182923643107347
